db,field_key,label,reason
mimic-iii,816,Ionized Calcium,"ionized calcium p50 1.14 mmol/L is a distinct analyte from total calcium (2.2-2.6 mmol/L), so mapping to calcium is not value-consistent"
mimic-iii,1089,PainLevel Acceptable,"acceptability of current pain level; overlaps pain_goal conceptually but is a categorical yes/no, not a target score"
mimic-iii,545,Plateau-Off,categorical vent 'Plateau-Off' flag; cannot confirm it carries a plateau pressure value
mimic-iii,822,Mixed Venous O2,label ambiguous between mixed venous saturation and PvO2; p50 36 with p99 112 fits neither cleanly
mimic-iii,851,Troponin,unqualified troponin; catalog has only troponin_t and the isoform (I vs T) cannot be determined
mimic-iii,51474,Eosinophils,"urinalysis eosinophils, categorical with no % unit, inconsistent with blood differential eosinophils"
mimic-iv,52023,Assist/Control,"label names one specific ventilation mode rather than a mode variable (223849 already carries ventilator_mode for MIMIC-IV), and with no unit, no value distribution and no cross-DB analogue it cannot be distinguished between a mode flag, an A/C set rate, or form free text"
mimic-iv,52172,RDW-SD,RDW-SD in fL (p50 50.6) conflicts with catalog rdw defined in % (p50 ~15)
mimic-iv,224691,Flow Rate (L/min),"L/min matches o2_flow but p50 44 is ventilator inspiratory flow, not supplemental O2"
mimic-iv,225667,Ionized Calcium,ionized calcium mmol/L p50 1.12; distinct analyte and value range from total calcium
mimic-iv,229326,CAM-ICU MS Change,binary CAM-ICU feature-1 item; overlaps delirium_score but is a subcomponent
mimic-iv,229662,Pminimum,"Hamilton minimum airway pressure; overlaps PEEP conceptually but not equivalent, values ambiguous"
mimic-iv,226063,Venous O2 Pressure,"venous PO2 (p50 44) is a different physiologic quantity from arterial po2 (p50 96-110) and the catalog has no pvo2, yet mimic-code derives po2 specimen-agnostically, so evidence is conflicting"
mimic-iv,225813,Baseline pain level,0-10 baseline pain level captured at admission history; neither the current pain_score nor the pain_goal concept clearly matches
mimic-iv,225628,CK-MB fraction (%),CK-MB relative index in % conflicts with catalog ck_mb defined in ng/mL mass units
mimic-iv,227446,Brain Natiuretic Peptide (BNP),BNP is a different analyte from catalog ntprobnp despite shared pg/mL units and overlapping range
