db,src_table,label,field_key,evidence,reason
eicu,eicu.lab,MPV,MPV,adjudicated:both_agree,mean platelet volume has no counterpart in the concept catalog
eicu,eicu.lab,magnesium,magnesium,adjudicated:both_agree,serum magnesium is absent from the concept catalog
eicu,eicu.lab,phosphate,phosphate,adjudicated:both_agree,serum phosphate is absent from the concept catalog
eicu,eicu.lab,troponin - I,troponin - I,adjudicated:both_agree,troponin I is a different analyte/assay from the catalog's troponin_t
eicu,eicu.lab,ionized calcium,ionized calcium,adjudicated:both_agree,"ionized fraction, p50 4.46 mg/dL implausible for total calcium which is already eICU-covered"
eicu,eicu.lab,urinary specific gravity,urinary specific gravity,adjudicated:both_agree,urine specific gravity has no counterpart in the concept catalog
eicu,eicu.lab,O2 Content,O2 Content,adjudicated:both_agree,arterial oxygen content (mls/dL) is a derived quantity absent from the catalog
eicu,eicu.lab,triglycerides,triglycerides,adjudicated:both_agree,triglycerides absent from the concept catalog
eicu,eicu.lab,BNP,BNP,adjudicated:both_agree,BNP is a different peptide/assay from ntprobnp; p50 573 pg/mL not interchangeable
eicu,eicu.lab,TSH,TSH,adjudicated:both_agree,thyroid stimulating hormone absent from the concept catalog
eicu,eicu.lab,lipase,lipase,adjudicated:both_agree,lipase absent from the catalog; amylase is a different enzyme
eicu,eicu.lab,Vancomycin - trough,Vancomycin - trough,adjudicated:both_agree,"therapeutic drug level, no corresponding concept"
eicu,eicu.lab,Oxyhemoglobin,Oxyhemoglobin,adjudicated:adjudicated,"fractional O2Hb by co-oximetry, reported alongside a separate O2 Sat (%) analyte in the same table, and the catalog carries its siblings carboxyhemoglobin/methemoglobin but has no oxyhemoglobin entry"
eicu,eicu.lab,total cholesterol,total cholesterol,adjudicated:both_agree,lipid panel analyte absent from the concept catalog
eicu,eicu.lab,HDL,HDL,adjudicated:both_agree,lipid panel analyte absent from the concept catalog
eicu,eicu.lab,serum osmolality,serum osmolality,adjudicated:both_agree,serum osmolality absent from the concept catalog
eicu,eicu.lab,CPK-MB INDEX,CPK-MB INDEX,adjudicated:both_agree,"relative index (%) is a derived ratio, not the ck_mb mass concentration"
eicu,eicu.lab,ammonia,ammonia,adjudicated:both_agree,plasma ammonia absent from the concept catalog
