encoder,path,params_M,pooling,dim,domain,n_gold,Recall@1,Recall@5,Recall@10
minilm,sentence-transformers/all-MiniLM-L6-v2,22.7,mean,384,mimic-iv,238,71.01,79.83,81.93
minilm,sentence-transformers/all-MiniLM-L6-v2,22.7,mean,384,mimic-iii,296,75.0,82.77,86.82
minilm,sentence-transformers/all-MiniLM-L6-v2,22.7,mean,384,eicu,154,58.44,74.03,78.57
bge_base,BAAI/bge-base-en-v1.5,109.5,cls,768,mimic-iv,238,72.69,81.51,85.71
bge_base,BAAI/bge-base-en-v1.5,109.5,cls,768,mimic-iii,296,74.32,84.46,89.19
bge_base,BAAI/bge-base-en-v1.5,109.5,cls,768,eicu,154,64.29,74.03,79.22
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,109.5,cls,768,mimic-iv,238,75.63,94.96,97.9
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,109.5,cls,768,mimic-iii,296,79.05,94.26,97.97
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,109.5,cls,768,eicu,154,68.83,85.06,90.26
gpt2,gpt2,124.4,last,768,mimic-iv,238,7.98,15.13,22.69
gpt2,gpt2,124.4,last,768,mimic-iii,296,6.08,13.51,21.96
gpt2,gpt2,124.4,last,768,eicu,154,12.34,15.58,18.18
bge_large,BAAI/bge-large-en-v1.5,335.1,cls,1024,mimic-iv,238,74.37,81.93,83.61
bge_large,BAAI/bge-large-en-v1.5,335.1,cls,1024,mimic-iii,296,76.01,84.46,87.84
bge_large,BAAI/bge-large-en-v1.5,335.1,cls,1024,eicu,154,59.74,74.03,76.62
qwen15,Qwen/Qwen2.5-1.5B,1543.7,last,1536,mimic-iv,238,17.23,27.31,34.45
qwen15,Qwen/Qwen2.5-1.5B,1543.7,last,1536,mimic-iii,296,17.57,26.01,31.08
qwen15,Qwen/Qwen2.5-1.5B,1543.7,last,1536,eicu,154,25.97,33.12,40.26
